ID,Date captured,Sex,Pronotum,Tibia,Radio,Mass_0,note
W01,2019-03-04,f,12.11,29.42,R485,9.543,
W02,2019-03-04,f,13.57,34.71,R494,23.876,
W04,2019-03-04,f,12.32,30.63,R489,20.034,
W07,2019-03-05,f,12.24,32.46,R488,18.349,On frog track
W08,2019-03-05,f,12.33,30.75,R486,18.47,Opportunistic in day
W09,2019-03-05,f,13.42,34.31,R495,22.529,Mating with W05
W11,2019-03-06,f,11.87,30.08,R508,11.472,
W18,2019-03-09,f,12.44,30.43,R493,21.01,
W20,2019-03-10,f,12.33,29.58,R500,16.864,
W21,2019-03-10,f,12.18,28.43,R496,17.493,
W33,2019-03-14,f,12.6,34.82,,21.246,
W35,2019-03-15,f,11.72,16.62,,20.011,
W37,2019-03-15,f,13.36,31.72,,22.391,
W54,2019-03-08,f,12.74,31.54,R492,22.544,
W55,2019-03-10,f,12.07,30.07,R490,17.793,
W56,2019-03-11,f,12.88,31.81,,24.928,
W57,2019-03-11,f,12.83,31.31,,24.455,
W59,2019-03-11,f,12.91,32.15,,22.847,
W66,2019-03-15,f,12.38,32.24,,20.011,
W68,2019-03-16,f,11.46,20.11,,17.311,
W69,2019-03-16,f,12.1,29.61,,19.927,
W72,2019-03-17,f,13.24,32.19,,24.298,
W73,2019-03-17,f,13,30.32,,22.669,
W76,2019-03-20,f,12.34,33.84,,21.164,
W77,2019-03-20,f,12.39,30.94,,19.506,
W03,2019-03-04,m,11.37,31.14,R487,10.79,
W05,2019-03-04,m,11.35,30.6,R491,9.745,
W10,2019-03-06,m,11.35,28.76,R506,8.878,
W12,2019-03-06,m,10.44,26.64,R509,8.861,
W13,2019-03-07,m,11.02,27.05,R510,8.592,
W14,2019-03-07,m,11.09,28.41,R502,8.577,
W15,2019-03-07,m,11.51,28.18,R499,8.435,
W16,2019-03-07,m,10,27.42,R497,7.256,
W17,2019-03-08,m,11.18,27.46,R498,9.425,
W22,2019-03-11,m,10.97,27.9,,9.544,
W23,2019-03-12,m,11.42,29.67,,10.152,
W24,2019-03-14,m,12.2,31.89,,10.826,
W25,2019-03-14,m,11.11,31.62,,10.938,
W26,2019-03-14,m,10.32,26.35,,8.078,
W27,2019-03-12,m,10.45,27.36,,7.903,
W30,2019-03-13,m,10.64,30.51,R503,9.182,
W32,2019-03-14,m,9.9,23.1,,5.922,
W34,2019-03-15,m,11.14,21.02,,9.474,
W38,2019-03-15,m,11.07,29.34,,8.798,
W39,2019-03-15,m,10.64,27.9,,8.578,
W58,2019-03-09,m,11.58,24.9,R484,8.823,
W61,2019-03-11,m,11.31,31.09,,9.793,
W67,2019-03-16,m,10.71,29.28,,8.951,
W70,2019-03-16,m,10.43,28.68,,7.838,
W74,2019-03-18,m,10.64,26.02,,7.878,
W75,2019-03-19,m,10.83,28.58,,9.222,
W78,2019-03-20,m,10.69,29.42,,8.711,
W79,2019-03-21,m,11.37,29.09,,10.668,
W80,2019-03-21,m,11.12,28.45,,9.47,
W97,2019-03-19,m,10.45,26.91,,8.286,